Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask"
PYPL,66.46,0.81,+68.07%,1.19,67.81,64.19,30.38%,47.5%,2023-06-23,63.00P,0.16,65.00P,0.49,67.00C,0.88,69.00C,0.4
META,280.88,3.42,+83.82%,4.08,290.92,276.58,30.39%,45.2%,2023-06-23,272.50P,1.55,280.00P,3.8,287.50C,2.39,295.00C,1.22
BABA,92.01,1.54,+105.48%,1.46,96.54,90.46,37.68%,45.1%,2023-06-23,89.00P,0.69,92.00P,1.79,95.00C,0.95,98.00C,0.51
NVDA,427.23,7.3,+94.81%,7.7,442.3,412.7,41.96%,44.7%,2023-06-23,405.00P,2.5,420.00P,6.35,435.00C,6.75,450.00C,3.3
NVDA,427.23,7.3,+94.81%,7.7,447.3,417.7,41.96%,44.2%,2023-06-23,410.00P,3.5,425.00P,8.5,440.00C,5.2,455.00C,2.9
INTC,36.46,0.8,+114.29%,0.7,38.8,35.7,50.39%,44.2%,2023-06-23,35.00P,0.42,36.50P,1.03,38.00C,0.49,39.50C,0.3
META,280.88,3.29,+78.15%,4.21,288.29,274.21,30.39%,44.1%,2023-06-23,270.00P,1.13,277.50P,2.78,285.00C,3.2,292.50C,1.56
NVDA,427.23,7.22,+92.80%,7.78,437.22,407.78,41.96%,43.4%,2023-06-23,400.00P,1.68,415.00P,4.65,430.00C,8.5,445.00C,4.25
BA,219.9,2.61,+109.21%,2.39,225.11,214.89,29.42%,43.1%,2023-06-23,212.50P,1.05,217.50P,2.34,222.50C,2.52,227.50C,1.2
INTC,36.46,0.71,+89.87%,0.79,38.21,35.29,50.39%,43.1%,2023-06-23,34.50P,0.28,36.00P,0.74,37.50C,0.61,39.00C,0.36
FDX,233.49,5.61,+127.79%,4.39,245.61,224.39,58.95%,42.0%,2023-06-23,220.00P,2.54,230.00P,5.7,240.00C,4.9,250.00C,2.45
FDX,233.49,5.6,+127.27%,4.4,240.6,219.4,58.95%,41.7%,2023-06-23,215.00P,1.55,225.00P,3.8,235.00C,6.9,245.00C,3.55
SQ,66.49,1.11,+124.72%,0.89,69.11,64.89,41.69%,41.0%,2023-06-23,64.00P,0.58,66.00P,1.25,68.00C,0.94,70.00C,0.5
MSFT,342.4,2.06,+70.07%,2.94,349.56,340.44,19.42%,37.3%,2023-06-23,337.50P,2,342.50P,3.35,347.50C,1.83,352.50C,1.12
MSFT,342.4,1.97,+65.02%,3.03,346.97,338.03,19.42%,37.0%,2023-06-23,335.00P,1.34,340.00P,2.2,345.00C,2.7,350.00C,1.59
SNOW,184.18,2.97,+146.31%,2.03,187.97,177.03,46.96%,35.3%,2023-06-23,175.00P,1.49,180.00P,2.77,185.00C,4.5,190.00C,2.81
NVDA,427.23,6.2,+163.16%,3.8,441.2,418.8,41.96%,34.6%,2023-06-23,415.00P,4.8,425.00P,8.5,435.00C,6.75,445.00C,4.25
BABA,92.01,1.15,+135.29%,0.85,95.15,90.85,37.68%,33.7%,2023-06-23,90.00P,0.97,92.00P,1.79,94.00C,1.14,96.00C,0.81
NVDA,427.23,5.95,+146.91%,4.05,435.95,414.05,41.96%,33.7%,2023-06-23,410.00P,3.5,420.00P,6.35,430.00C,8.5,440.00C,5.4
JPM,143.25,0.55,+122.22%,0.45,144.55,142.45,12.24%,33.3%,2023-06-23,142.00P,0.52,143.00P,0.8,144.00C,0.65,145.00C,0.38
META,280.88,2.43,+94.55%,2.57,287.43,277.57,30.39%,32.1%,2023-06-23,275.00P,2.23,280.00P,3.8,285.00C,3.2,290.00C,2.34
INTC,36.46,0.55,+122.22%,0.45,37.55,35.45,50.39%,31.9%,2023-06-23,35.00P,0.42,36.00P,0.74,37.00C,0.77,38.00C,0.54
COIN,55.58,1.29,+181.69%,0.71,58.29,53.71,73.92%,31.0%,2023-06-23,53.00P,1.2,55.00P,1.92,57.00C,1.6,59.00C,1.03
TSLA,260.49,3.75,+300.00%,1.25,268.75,256.25,53.17%,25.3%,2023-06-23,255.00P,5,260.00P,7.25,265.00C,5.85,270.00C,4.35
TSLA,260.49,3.6,+257.14%,1.4,266.1,253.9,53.17%,25.0%,2023-06-23,252.50P,4.1,257.50P,5.95,262.50C,6.85,267.50C,5.1
SQ,66.49,0.7,+233.33%,0.3,67.7,65.3,41.69%,24.5%,2023-06-23,65.00P,0.88,66.00P,1.25,67.00C,1.31,68.00C,0.98
GME,24.57,0.3,+150.00%,0.2,25.3,24.2,54.53%,23.1%,2023-06-23,24.00P,0.45,24.50P,0.67,25.00C,0.56,25.50C,0.48
MSFT,342.4,1.16,+86.57%,1.34,346.16,341.34,19.42%,20.6%,2023-06-23,340.00P,2.73,342.50P,3.35,345.00C,2.7,347.50C,2.16
NVDA,427.23,3.5,+233.33%,1.5,433.5,421.5,41.96%,19.0%,2023-06-23,420.00P,6.55,425.00P,8.5,430.00C,8.5,435.00C,6.95
INTC,36.46,0.34,+212.50%,0.16,37.34,36.16,50.39%,18.2%,2023-06-23,36.00P,0.8,36.50P,1.03,37.00C,0.77,37.50C,0.66
COIN,55.58,0.68,+212.50%,0.32,56.68,54.32,73.92%,16.5%,2023-06-23,54.00P,1.55,55.00P,1.92,56.00C,1.98,57.00C,1.67
"Downloaded from Barchart.com as of 06-16-2023 03:30pm CDT"
