Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask"
NVDA,313.78,8.48,+130.06%,6.52,328.48,296.52,82.56%,44.4%,2023-05-26,290.00P,2.52,305.00P,6.75,320.00C,8,335.00C,3.75
NVDA,313.78,8.9,+145.90%,6.1,336.4,303.6,82.56%,44.1%,2023-05-26,297.50P,4.3,312.50P,10.2,327.50C,5.45,342.50C,2.45
SHOP,63.58,1.1,+122.22%,0.9,65.1,60.9,53.61%,44.0%,2023-05-26,60.00P,0.27,62.00P,0.66,64.00C,1.37,66.00C,0.66
AMD,108.18,1.75,+140.00%,1.25,111.75,105.25,52.38%,41.5%,2023-05-26,104.00P,0.78,107.00P,1.71,110.00C,1.67,113.00C,0.85
META,251.52,2.92,+140.39%,2.08,255.42,244.58,36.65%,41.5%,2023-05-26,242.50P,0.86,247.50P,1.92,252.50C,3.7,257.50C,1.84
AMD,108.18,1.79,+147.93%,1.21,112.79,106.21,52.38%,41.2%,2023-05-26,105.00P,1.02,108.00P,2.15,111.00C,1.33,114.00C,0.67
ENPH,166.52,2.67,+114.59%,2.33,172.67,162.33,54.09%,41.1%,2023-05-26,160.00P,1.58,165.00P,3.15,170.00C,2.02,175.00C,0.92
TSLA,184.17,2.88,+135.85%,2.12,187.88,177.12,51.30%,41.0%,2023-05-26,175.00P,1.04,180.00P,2.16,185.00C,3.65,190.00C,1.89
TSLA,184.17,2.84,+131.48%,2.16,190.34,179.66,51.30%,40.9%,2023-05-26,177.50P,1.52,182.50P,3.05,187.50C,2.64,192.50C,1.33
GOOG,125.8,1.22,+156.41%,0.78,127.22,122.78,31.48%,40.6%,2023-05-26,122.00P,0.35,124.00P,0.74,126.00C,1.82,128.00C,0.99
GOOGL,125.12,1.19,+146.91%,0.81,127.19,122.81,31.64%,40.3%,2023-05-26,122.00P,0.45,124.00P,0.94,126.00C,1.49,128.00C,0.79
GOOGL,125.12,1.23,+159.74%,0.77,126.23,121.77,31.64%,40.3%,2023-05-26,121.00P,0.31,123.00P,0.65,125.00C,1.99,127.00C,1.1
"Downloaded from Barchart.com as of 05-22-2023 10:03am CDT"
