Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask","Exp Type"
DIS,102.21,0.93,+86.92%,1.07,104.93,101.07,32.71%,46.0%,2023-05-05,100.00P,0.43,102.00P,1.02,104.00C,0.53,106.00C,0.19,weekly
AAPL,169.59,2.73,+120.26%,2.27,175.23,164.77,55.56%,45.9%,2023-05-05,162.50P,1.07,167.50P,2.43,172.50C,2.04,177.50C,0.67,weekly
CLF,15.21,0.22,+78.57%,0.28,15.72,14.78,56.03%,45.6%,2023-05-05,14.50P,0.09,15.00P,0.2,15.50C,0.18,16.00C,0.07,weekly
MCD,297.58,1.01,+67.79%,1.49,301.01,296.49,13.09%,45.4%,2023-05-05,295.00P,0.65,297.50P,1.31,300.00C,0.5,302.50C,0.15,weekly
MSFT,305.56,2.24,+81.16%,2.76,312.24,302.76,27.30%,45.4%,2023-05-05,300.00P,1.13,305.00P,2.52,310.00C,1.25,315.00C,0.4,weekly
GOOG,107.71,0.97,+94.17%,1.03,109.97,106.03,33.38%,45.2%,2023-05-05,105.00P,0.39,107.00P,0.91,109.00C,0.7,111.00C,0.25,weekly
AMD,89.69,2.79,+126.24%,2.21,96.79,86.21,104.35%,45.2%,2023-05-05,84.00P,1.24,89.00P,3,94.00C,1.76,99.00C,0.73,weekly
GOOGL,107.2,0.94,+88.68%,1.06,109.94,106.06,32.10%,45.0%,2023-05-05,105.00P,0.47,107.00P,1.08,109.00C,0.52,111.00C,0.19,weekly
TSLA,161.83,2.6,+108.33%,2.4,167.6,157.4,57.87%,44.9%,2023-05-05,155.00P,1.1,160.00P,2.51,165.00C,2.01,170.00C,0.82,weekly
JPM,141.2,0.88,+78.57%,1.12,143.88,140.12,23.82%,44.7%,2023-05-05,139.00P,0.51,141.00P,1.06,143.00C,0.52,145.00C,0.19,weekly
NVDA,289.1,3.95,+111.27%,3.55,296.45,281.05,49.79%,44.5%,2023-05-05,277.50P,1.5,285.00P,3.3,292.50C,3.7,300.00C,1.55,weekly
TSLA,161.83,4.01,+114.90%,3.49,169.01,153.49,49.29%,44.4%,2023-05-12,150.00P,1.49,157.50P,3.3,165.00C,3.85,172.50C,1.65,weekly
SBUX,114.56,2.24,+127.27%,1.76,118.24,109.76,70.67%,43.7%,2023-05-05,108.00P,0.81,112.00P,1.79,116.00C,2.22,120.00C,0.96,weekly
META,243.18,2.79,+126.24%,2.21,247.79,237.21,41.90%,43.3%,2023-05-05,235.00P,1.09,240.00P,2.29,245.00C,2.88,250.00C,1.29,weekly
F,12.06,0.26,+108.33%,0.24,12.76,11.74,79.10%,43.0%,2023-05-05,11.50P,0.15,12.00P,0.31,12.50C,0.17,13.00C,0.07,weekly
META,243.18,2.78,+125.23%,2.22,250.28,239.72,41.90%,42.3%,2023-05-05,237.50P,1.62,242.50P,3.25,247.50C,1.95,252.50C,0.8,weekly
CCL,9.49,0.24,+92.31%,0.26,9.74,8.76,55.24%,42.1%,2023-05-12,8.50P,0.08,9.00P,0.14,9.50C,0.34,10.00C,0.16,weekly
GOOGL,107.2,1.6,+114.29%,1.4,111.6,105.4,30.30%,42.1%,2023-05-12,104.00P,0.94,107.00P,1.93,110.00C,1,113.00C,0.39,weekly
NVDA,289.1,5.9,+143.90%,4.1,295.9,274.1,42.00%,40.9%,2023-05-12,270.00P,2.05,280.00P,4.1,290.00C,7.7,300.00C,3.85,weekly
AAPL,169.59,2.94,+142.72%,2.06,175.44,164.56,36.35%,40.5%,2023-05-12,162.50P,1.66,167.50P,3.05,172.50C,2.61,177.50C,1.06,weekly
DKNG,22.6,0.83,+123.88%,0.67,24.33,21.17,144.84%,40.4%,2023-05-05,20.50P,0.42,22.00P,0.87,23.50C,0.8,25.00C,0.42,weekly
AMD,89.69,2.5,+166.67%,1.5,94.5,85.5,104.35%,40.3%,2023-05-05,84.00P,1.24,88.00P,2.57,92.00C,2.42,96.00C,1.25,weekly
AMD,89.69,2.46,+159.74%,1.54,93.46,84.54,104.35%,40.2%,2023-05-05,83.00P,1,87.00P,2.15,91.00C,2.81,95.00C,1.5,weekly
"Downloaded from Barchart.com as of 05-01-2023 10:52pm CDT"
