Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue
BAC,29.52,0.56,+127.27%,0.44,31.06,28.94,48.70%,0.41700000000000004,2023-04-21,28.50P,0.35,29.50P,0.71,30.50C,0.36,31.50C,0.16,monthly,-2.2999999999999936
BAC,29.52,0.67,+203.03%,0.33,30.67,28.33,33.38%,0.303,2023-05-19,28.00P,0.59,29.00P,0.88,30.00C,1.0,31.00C,0.62,monthly,-2.700000000000003
SHOP,46.39,0.65,+185.71%,0.35,47.65,45.35,46.65%,0.321,2023-04-21,45.00P,0.57,46.00P,0.89,47.00C,0.83,48.00C,0.5,monthly,-2.8999999999999986
AMZN,102.51,0.72,+257.14%,0.28,103.72,101.28,30.28%,0.24100000000000002,2023-04-21,101.00P,0.95,102.00P,1.27,103.00C,1.4,104.00C,1.0,monthly,-3.900000000000002
SHOP,46.39,0.37,+284.62%,0.13,46.87,45.63,46.65%,0.177,2023-04-21,45.50P,0.73,46.00P,0.89,46.50C,1.06,47.00C,0.85,monthly,-4.15
PYPL,76.53,0.67,+203.03%,0.33,77.67,75.33,32.45%,0.287,2023-04-21,75.00P,0.65,76.00P,0.96,77.00C,1.06,78.00C,0.7,monthly,-4.300000000000004
AXP,163.22,2.73,+120.26%,2.27,167.73,157.27,42.49%,0.444,2023-04-21,155.00P,0.96,160.00P,2.11,165.00C,2.8,170.00C,1.22,monthly,-5.000000000000014
MARA,11.97,0.57,+132.56%,0.43,13.07,10.93,141.05%,0.379,2023-04-21,10.50P,0.29,11.50P,0.63,12.50C,0.62,13.50C,0.39,monthly,-5.100000000000001
FCX,43.16,0.76,+316.67%,0.24,44.76,42.24,40.09%,0.187,2023-05-19,42.00P,1.53,43.00P,1.91,44.00C,1.79,45.00C,1.41,monthly,-5.300000000000001
TSLA,185.0,2.1,+525.00%,0.4,189.6,182.9,80.91%,0.13699999999999998,2023-04-21,182.50P,6.45,185.00P,7.55,187.50C,6.55,190.00C,5.55,monthly,-5.75
F,12.52,0.29,+138.10%,0.21,13.29,12.21,45.53%,0.305,2023-05-05,12.00P,0.37,12.50P,0.54,13.00C,0.26,13.50C,0.14,weekly,-5.750000000000002
MARA,11.97,0.33,+194.12%,0.17,12.33,11.17,141.05%,0.214,2023-04-21,11.00P,0.45,11.50P,0.63,12.00C,0.81,12.50C,0.66,monthly,-6.3
FCX,43.16,0.62,+163.16%,0.38,44.62,42.38,49.16%,0.315,2023-04-21,42.00P,0.63,43.00P,0.97,44.00C,0.72,45.00C,0.44,monthly,-6.5
RBLX,45.7,0.69,+222.58%,0.31,47.19,44.81,65.49%,0.24100000000000002,2023-04-21,44.50P,1.01,45.50P,1.39,46.50C,1.16,47.50C,0.85,monthly,-6.899999999999999
AMZN,102.51,2.69,+205.34%,1.31,108.69,99.31,47.96%,0.31,2023-05-05,98.00P,2.62,102.00P,4.1,106.00C,3.1,110.00C,1.89,weekly,-6.999999999999986
BA,201.71,5.95,+146.91%,4.05,210.95,189.05,34.27%,0.39799999999999996,2023-05-19,185.00P,2.95,195.00P,5.3,205.00C,7.15,215.00C,3.55,monthly,-7.000000000000057
RIOT,13.48,0.31,+163.16%,0.19,13.81,12.69,122.07%,0.212,2023-04-21,12.50P,0.43,13.00P,0.59,13.50C,0.82,14.00C,0.67,monthly,-8.400000000000002
NKE,125.95,0.66,+194.12%,0.34,126.66,124.34,21.96%,0.255,2023-04-21,124.00P,0.71,125.00P,0.93,126.00C,1.39,127.00C,0.95,monthly,-8.499999999999996
GOOGL,108.87,0.67,+203.03%,0.33,109.67,107.33,27.04%,0.243,2023-04-21,107.00P,0.78,108.00P,1.05,109.00C,1.45,110.00C,1.05,monthly,-8.700000000000003
COIN,69.91,1.93,+180.37%,1.07,72.93,66.07,91.51%,0.326,2023-04-21,65.00P,1.4,68.00P,2.38,71.00C,2.73,74.00C,1.78,monthly,-9.199999999999996
COIN,69.91,1.94,+183.02%,1.06,73.94,67.06,91.51%,0.322,2023-04-21,66.00P,1.73,69.00P,2.82,72.00C,2.31,75.00C,1.46,monthly,-9.399999999999991
WFC,39.64,0.43,+75.44%,0.57,40.93,39.07,27.57%,0.47600000000000003,2023-04-21,38.50P,0.18,39.50P,0.47,40.50C,0.23,41.50C,0.09,monthly,-9.399999999999999
AMC,5.12,0.22,+78.57%,0.28,5.72,4.78,143.91%,0.371,2023-04-21,4.50P,0.19,5.00P,0.36,5.50C,0.15,6.00C,0.1,monthly,-9.450000000000003
RIOT,13.48,0.53,+112.77%,0.47,14.53,12.47,122.07%,0.375,2023-04-21,12.00P,0.27,13.00P,0.59,14.00C,0.62,15.00C,0.41,monthly,-9.5
META,221.49,4.1,+455.56%,0.9,229.1,215.9,47.90%,0.161,2023-05-19,215.00P,9.65,220.00P,11.65,225.00C,11.6,230.00C,9.5,monthly,-9.5
UAL,41.67,0.73,+270.37%,0.27,42.73,40.27,43.90%,0.175,2023-05-19,40.00P,1.45,41.00P,1.78,42.00C,2.1,43.00C,1.7,monthly,-9.5
GOOGL,108.87,1.07,+115.05%,0.93,111.07,106.93,27.04%,0.41600000000000004,2023-04-21,106.00P,0.53,108.00P,1.05,110.00C,1.02,112.00C,0.47,monthly,-9.799999999999997
UAL,41.67,0.84,+127.27%,0.66,43.84,40.66,59.68%,0.37200000000000005,2023-04-21,40.00P,0.64,41.50P,1.15,43.00C,0.71,44.50C,0.38,monthly,-10.199999999999989
COIN,69.91,2.32,+138.10%,1.68,75.32,66.68,91.51%,0.39399999999999996,2023-04-21,65.00P,1.4,69.00P,2.82,73.00C,1.95,77.00C,1.05,monthly,-10.400000000000048
AAPL,165.21,3.21,+179.33%,1.79,173.21,161.79,25.32%,0.336,2023-05-19,160.00P,3.2,165.00P,4.85,170.00C,3.05,175.00C,1.49,monthly,-10.999999999999972
AMZN,102.51,2.15,+252.94%,0.85,107.15,99.85,47.96%,0.24600000000000002,2023-05-05,99.00P,2.96,102.00P,4.1,105.00C,3.5,108.00C,2.49,weekly,-11.199999999999996
AAPL,165.21,1.27,+103.25%,1.23,168.77,163.73,19.44%,0.445,2023-04-21,162.50P,0.75,165.00P,1.52,167.50C,0.74,170.00C,0.24,monthly,-11.749999999999986
RIOT,13.48,0.69,+222.58%,0.31,14.69,12.31,119.58%,0.191,2023-05-19,12.00P,1.25,13.00P,1.67,14.00C,1.67,15.00C,1.4,monthly,-11.899999999999997
GOOG,109.46,1.45,+263.64%,0.55,111.45,106.55,44.10%,0.213,2023-04-28,106.00P,2.27,108.00P,2.85,110.00C,3.45,112.00C,2.58,weekly,-12.400000000000013
META,221.49,2.68,+115.52%,2.32,227.68,217.32,31.02%,0.439,2023-04-21,215.00P,1.25,220.00P,2.74,225.00C,2.04,230.00C,0.85,monthly,-12.499999999999957
PYPL,76.53,0.96,+92.31%,1.04,78.96,75.04,32.45%,0.455,2023-04-21,74.00P,0.41,76.00P,0.96,78.00C,0.67,80.00C,0.26,monthly,-12.999999999999993
PLTR,8.81,0.2,+66.67%,0.3,9.2,8.3,51.68%,0.32899999999999996,2023-05-05,8.00P,0.16,8.50P,0.23,9.00C,0.36,9.50C,0.23,weekly,-13.550000000000004
GME,22.46,0.76,+155.10%,0.49,23.26,20.49,57.14%,0.28,2023-05-19,20.00P,0.66,21.25P,1.05,22.50C,1.47,23.75C,1.1,monthly,-14.0
AAPL,165.21,1.52,+155.10%,0.98,169.02,163.48,20.21%,0.33399999999999996,2023-04-28,162.50P,1.51,165.00P,2.25,167.50C,1.55,170.00C,0.77,weekly,-14.500000000000007
COIN,69.91,2.25,+128.57%,1.75,74.25,65.75,91.51%,0.396,2023-04-21,64.00P,1.2,68.00P,2.38,72.00C,2.31,76.00C,1.24,monthly,-16.599999999999994
META,221.49,8.42,+127.96%,6.58,243.42,211.58,64.59%,0.42700000000000005,2023-04-28,205.00P,4.35,220.00P,9.65,235.00C,5.25,250.00C,2.13,weekly,-17.499999999999943
NKE,125.95,0.97,+94.17%,1.03,127.97,124.03,21.96%,0.42100000000000004,2023-04-21,123.00P,0.48,125.00P,0.93,127.00C,0.92,129.00C,0.4,monthly,-18.79999999999999
COIN,69.91,2.55,+104.08%,2.45,76.55,66.45,91.51%,0.44799999999999995,2023-04-21,64.00P,1.2,69.00P,2.82,74.00C,1.67,79.00C,0.74,monthly,-21.000000000000057
PINS,28.58,0.53,+112.77%,0.47,29.53,27.47,58.27%,0.258,2023-04-28,27.00P,0.67,28.00P,0.88,29.00C,1.02,30.00C,0.7,weekly,-21.200000000000003
AMZN,102.51,1.45,+263.64%,0.55,105.45,100.55,47.96%,0.168,2023-05-05,100.00P,3.35,102.00P,4.1,104.00C,3.95,106.00C,3.25,weekly,-21.400000000000002
GOOGL,108.87,1.9,+172.73%,1.1,111.9,105.1,44.38%,0.292,2023-04-28,104.00P,1.75,107.00P,2.54,110.00C,3.1,113.00C,1.99,weekly,-22.400000000000013
META,221.49,3.85,+334.78%,1.15,228.85,216.15,64.59%,0.185,2023-04-28,215.00P,7.7,220.00P,9.65,225.00C,9.1,230.00C,7.2,weekly,-22.499999999999986
GOOG,109.46,2.31,+136.69%,1.69,113.31,104.69,44.10%,0.365,2023-04-28,103.00P,1.36,107.00P,2.4,111.00C,2.84,115.00C,1.57,weekly,-23.0
XOM,116.05,2.64,+111.86%,2.36,122.64,112.36,25.23%,0.426,2023-05-19,110.00P,1.58,115.00P,3.15,120.00C,1.7,125.00C,0.63,monthly,-23.00000000000003
AMZN,102.51,2.47,+161.44%,1.53,108.47,99.53,54.15%,0.32299999999999995,2023-04-28,98.00P,2.32,102.00P,3.65,106.00C,2.64,110.00C,1.5,weekly,-23.80000000000001
PACW,9.98,0.25,+33.33%,0.75,10.25,8.75,80.47%,0.501,2023-04-21,8.00P,0.1,9.00P,0.15,10.00C,0.35,11.00C,0.15,monthly,-24.9
AAPL,165.21,2.89,+136.97%,2.11,172.89,162.11,27.89%,0.371,2023-05-05,160.00P,2.4,165.00P,3.95,170.00C,2.26,175.00C,0.92,weekly,-25.5
GOOG,109.46,1.87,+165.49%,1.13,111.87,105.13,44.10%,0.289,2023-04-28,104.00P,1.62,107.00P,2.4,110.00C,3.45,113.00C,2.36,weekly,-26.300000000000004
GS,336.92,5.2,+108.33%,4.8,345.2,324.8,39.13%,0.45299999999999996,2023-04-21,320.00P,1.65,330.00P,3.7,340.00C,5.1,350.00C,1.95,monthly,-27.00000000000003
GOOG,109.46,1.86,+163.16%,1.14,112.86,106.14,44.10%,0.28800000000000003,2023-04-28,105.00P,1.82,108.00P,2.85,111.00C,2.84,114.00C,2.01,weekly,-27.599999999999987
GOOGL,108.87,1.17,+63.93%,1.83,112.17,106.83,27.04%,0.513,2023-04-21,105.00P,0.35,108.00P,1.05,111.00C,0.67,114.00C,0.2,monthly,-29.099999999999994
COIN,69.91,2.74,+84.05%,3.26,77.74,66.26,91.51%,0.493,2023-04-21,63.00P,0.95,69.00P,2.82,75.00C,1.41,81.00C,0.54,monthly,-30.200000000000017
AMZN,102.51,1.93,+180.37%,1.07,106.93,100.07,54.15%,0.253,2023-04-28,99.00P,2.79,102.00P,3.65,105.00C,3.1,108.00C,2.03,weekly,-31.1
GOOG,109.46,2.86,+91.08%,3.14,116.86,105.14,44.10%,0.47,2023-04-28,102.00P,1.05,108.00P,2.85,114.00C,1.65,120.00C,0.59,weekly,-32.00000000000003
AAPL,165.21,2.97,+146.31%,2.03,172.97,162.03,26.95%,0.33899999999999997,2023-05-12,160.00P,2.87,165.00P,4.5,170.00C,2.71,175.00C,1.37,weekly,-33.5
AAPL,165.21,1.64,+190.70%,0.86,169.14,163.36,27.89%,0.209,2023-05-05,162.50P,3.2,165.00P,3.95,167.50C,3.25,170.00C,2.36,weekly,-33.75
MRNA,157.1,2.94,+142.72%,2.06,162.94,152.06,60.73%,0.34299999999999997,2023-04-21,150.00P,2.2,155.00P,3.7,160.00C,3.55,165.00C,2.11,monthly,-34.50000000000003
COIN,69.91,2.64,+78.57%,3.36,76.64,65.36,91.51%,0.5,2023-04-21,62.00P,0.78,68.00P,2.38,74.00C,1.67,80.00C,0.63,monthly,-36.0
CVX,172.44,2.41,+93.05%,2.59,177.41,167.59,25.57%,0.445,2023-04-28,165.00P,0.98,170.00P,2.08,175.00C,2.03,180.00C,0.72,weekly,-36.49999999999997
AAPL,165.21,1.65,+194.12%,0.85,169.15,163.35,26.95%,0.188,2023-05-12,162.50P,3.65,165.00P,4.5,167.50C,3.8,170.00C,3.0,weekly,-38.000000000000014
CAT,223.68,2.35,+88.68%,2.65,227.35,217.65,28.27%,0.44799999999999995,2023-04-21,215.00P,0.92,220.00P,1.87,225.00C,2.23,230.00C,0.83,monthly,-41.000000000000014
GOOGL,108.87,1.18,+143.90%,0.82,111.18,106.82,44.38%,0.18899999999999997,2023-04-28,106.00P,2.48,108.00P,3.05,110.00C,3.1,112.00C,2.49,weekly,-44.20000000000002
COIN,69.91,2.84,+68.27%,4.16,78.84,66.16,91.51%,0.528,2023-04-21,62.00P,0.78,69.00P,2.82,76.00C,1.19,83.00C,0.39,monthly,-46.39999999999998
MA,372.43,2.34,+87.97%,2.66,377.34,367.66,17.46%,0.43799999999999994,2023-04-21,365.00P,1.05,370.00P,2.12,375.00C,2.05,380.00C,0.78,monthly,-47.00000000000003
GOOGL,108.87,1.68,+127.27%,1.32,112.68,106.32,44.38%,0.271,2023-04-28,105.00P,2.12,108.00P,3.05,111.00C,2.41,114.00C,1.66,weekly,-50.69999999999999
GOOGL,108.87,1.12,+127.27%,0.88,110.12,105.88,44.38%,0.184,2023-04-28,105.00P,2.12,107.00P,2.54,109.00C,3.6,111.00C,2.9,weekly,-51.2
GOOGL,108.87,2.1,+110.53%,1.9,114.1,105.9,44.38%,0.342,2023-04-28,104.00P,1.75,108.00P,3.05,112.00C,2.15,116.00C,1.35,weekly,-53.199999999999974
AMZN,102.51,1.14,+132.56%,0.86,105.14,100.86,54.15%,0.161,2023-04-28,100.00P,2.93,102.00P,3.65,104.00C,3.2,106.00C,2.78,weekly,-53.8
GOOGL,108.87,2.73,+83.49%,3.27,116.73,105.27,44.38%,0.45299999999999996,2023-04-28,102.00P,1.27,108.00P,3.05,114.00C,1.48,120.00C,0.53,weekly,-55.20000000000002
JPM,138.73,3.39,+51.29%,6.61,143.39,126.61,21.93%,0.603,2023-05-19,120.00P,0.24,130.00P,0.88,140.00C,3.2,150.00C,0.45,monthly,-58.00000000000003
AMZN,102.51,0.3,+42.86%,0.7,103.3,101.7,54.15%,0.061,2023-04-28,101.00P,3.4,102.00P,3.65,103.00C,3.9,104.00C,3.85,weekly,-63.900000000000006
GOOGL,108.87,1.99,+99.01%,2.01,112.99,105.01,44.38%,0.33799999999999997,2023-04-28,103.00P,1.56,107.00P,2.54,111.00C,2.41,115.00C,1.4,weekly,-65.79999999999998
AAPL,165.21,1.91,+61.81%,3.09,171.91,163.09,20.21%,0.484,2023-04-28,160.00P,0.94,165.00P,2.25,170.00C,0.74,175.00C,0.14,weekly,-67.00000000000001
NVDA,267.58,4.9,+188.46%,2.6,279.9,262.6,41.70%,0.254,2023-05-05,260.00P,7.3,267.50P,9.95,275.00C,7.05,282.50C,4.8,weekly,-69.49999999999999
JPM,138.73,1.15,+29.87%,3.85,141.15,133.85,22.02%,0.628,2023-04-21,130.00P,0.1,135.00P,0.38,140.00C,1.02,145.00C,0.15,monthly,-71.00000000000001
AAPL,165.21,3.3,+78.57%,4.2,175.8,161.7,27.89%,0.45799999999999996,2023-05-05,157.50P,1.8,165.00P,3.95,172.50C,1.44,180.00C,0.29,weekly,-76.50000000000003
JNJ,165.84,1.22,+32.28%,3.78,168.72,161.28,20.65%,0.596,2023-04-21,157.50P,0.25,162.50P,0.64,167.50C,1.02,172.50C,0.19,monthly,-80.00000000000001
ENPH,208.9,4.3,+75.44%,5.7,219.3,200.7,52.60%,0.488,2023-04-21,195.00P,1.41,205.00P,3.7,215.00C,3.15,225.00C,1.14,monthly,-82.00000000000003
CVX,172.44,1.12,+28.87%,3.88,176.12,168.88,19.51%,0.599,2023-04-21,165.00P,0.19,170.00P,0.74,175.00C,0.63,180.00C,0.06,monthly,-88.50000000000001
AAPL,165.21,4.05,+68.07%,5.95,179.05,160.95,25.32%,0.483,2023-05-19,155.00P,1.98,165.00P,4.85,175.00C,1.44,185.00C,0.26,monthly,-112.00000000000003
GS,336.92,5.27,+54.16%,9.73,350.27,324.73,39.13%,0.5489999999999999,2023-04-21,315.00P,1.02,330.00P,3.7,345.00C,3.15,360.00C,0.56,monthly,-149.5000000000001
AAPL,165.21,3.38,+51.06%,6.62,178.38,161.62,27.89%,0.512,2023-05-05,155.00P,1.33,165.00P,3.95,175.00C,0.87,185.00C,0.11,weekly,-149.99999999999997
ENPH,208.9,4.36,+40.98%,10.64,224.36,200.64,52.60%,0.58,2023-04-21,190.00P,0.76,205.00P,3.7,220.00C,1.84,235.00C,0.42,monthly,-194.00000000000003
Downloaded from Barchart.com as of 04-16-2023 07:48pm CDT,,,,,,,,,,,,,,,,,,,
